NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0809 Entries & Exits,0809 Interchanges
3806,22860,26270,10843,59973,22860,26270,10843,59973,119946,0
3807,68463,125547,94952,288962,68463,125547,94952,288962,577924,0
9020,43,4,0,47,43,4,0,47,94,0
6207,20641,1970,1767,24378,20641,1970,1767,24378,48756,0
7494,361667,344205,559065,1264937,361667,344205,559065,1264937,2529874,0
5520,497493,995456,911002,2403951,497493,995456,911002,2403951,4807902,678487
5090,13273,14094,24704,52071,13273,14094,24704,52071,104142,0
3271,481083,1376299,521570,2378952,481083,1376299,521570,2378952,4757904,111763
9311,134358,98536,90009,322903,134358,98536,90009,322903,645806,0
8484,39659,37952,40995,118606,39659,37952,40995,118606,237212,0
7909,779,124,0,903,779,124,0,903,1806,0
5420,152333,205221,510086,867640,152333,205221,510086,867640,1735280,49259
5215,38850,107491,140123,286464,38850,107491,140123,286464,572928,0
6870,1796,1540,1950,5286,1796,1540,1950,5286,10572,0
6006,6846,4969,5937,17752,6846,4969,5937,17752,35504,0
3047,169034,183760,285574,638368,169034,183760,285574,638368,1276736,0
2420,376,223,259,858,376,223,259,858,1716,0
9966,94622,70579,83556,248757,94622,70579,83556,248757,497514,0
5091,29811,59842,141120,230773,29811,59842,141120,230773,461546,0
8822,55,45,0,100,55,45,0,100,200,0
5890,618,1168,498,2284,618,1168,498,2284,4568,0
8877,13158,12453,600,26211,13158,12453,600,26211,52422,0
2188,165138,284888,147992,598018,165138,284888,147992,598018,1196036,0
7258,17317,26612,984,44913,17317,26612,984,44913,89826,0
5076,23442,29474,95764,148680,23442,29474,95764,148680,297360,0
5046,166027,274281,893759,1334067,166027,274281,893759,1334067,2668134,46395
1512,189221,669807,740514,1599542,189221,669807,740514,1599542,3199084,27024
1510,1428,2543,3063,7034,1428,2543,3063,7034,14068,0
5538,22211,19842,14787,56840,22211,19842,14787,56840,113680,0
3245,10871,7779,10695,29345,10871,7779,10695,29345,58690,0
1165,9178,1665,3805,14648,9178,1665,3805,14648,29296,0
3070,7667,23302,10890,41859,7667,23302,10890,41859,83718,0
1625,98779,63784,39468,202031,98779,63784,39468,202031,404062,14021
5198,5710,9258,12988,27956,5710,9258,12988,27956,55912,0
2785,1032,3612,1218,5862,1032,3612,1218,5862,11724,0
9895,81864,70291,51351,203506,81864,70291,51351,203506,407012,18394
5062,40091,45929,243264,329284,40091,45929,243264,329284,658568,0
9714,102783,81485,112202,296470,102783,81485,112202,296470,592940,6725
5350,10449,10617,40724,61790,10449,10617,40724,61790,123580,0
1679,20165,18280,8245,46690,20165,18280,8245,46690,93380,0
5227,1322,1549,1928,4799,1322,1549,1928,4799,9598,0
