NLC,"Entries  Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
2188,66469,108672,2422,68297,106882,2422,355164
7258,10147,18996,687,9845,19567,687,59929
5076,12075.003,12102.001,39041.205,6804.241,14122.001,38665.705,122810.156
5046,88831.32,185970.798,543530.191,63259.757,203750.814,534718.191,1620061.071
5349,0.004,2.041,10385.576,0.2,2.06,10385.576,20775.457
1512,109929,501848,487656.5,113850,509512,487651.5,2210447
1510,33,71,5,79,58,5,251
5538,15485,14310,10411.5,16340,14950,10411.5,81908
3245,3631,2015,3790,4118,2028,3790,19372
1165,6035,2840,1762,6818,2975,1762,22192
3070,6375,14436,8317,6614,16328,8317,60387
1625,58041,32159,22579,56306,31586,22579,223250
5198,3608,4989,7624,4579,5151,7624,33575
2785,1505,4443,301,2044,4698,301,13292
9895,53099,45457,15646.5,57454,45456,15646.5,232759
5062,23283.041,35018.774,172494.04,16006.217,37555.801,172053.54,456411.413
9714,86072,67034,65666.5,95845,67052,65666.5,447336
5350,2426.009,3270.021,4284.017,4930.014,3741.021,4284.017,22935.099
1679,24804,15573,4915,23736,15655,4915,89598
5227,656,1146,859,837,1213,859,5570
5092,30383.712,40019.099,105987.6665,20687.484,44836.099,105987.6665,347901.727
8047,1877,1795,768.5,2096,1794,768.5,9099
8564,31646,27084,952.5,29975,24247,952.5,114857
7439,168781,226634,828037.5,152343,240273,790796,2406864.5
2676,4434,1771,253,4945,1780,253,13436
5624,6014,6915,25843.5,5947,7942,25843.5,78505
8352,24605,17952,5750,20589,17112,5750,91758
3549,7836,4663,3651,8526,4661,3651,32988
3550,3824,2439,1054,3799,2444,1054,14614
1390,69365,187213,245494.5,47918,216408,245146,1011544.5
1045,23302,27908,19568,24368,27891,19568,142605
7330,184,126,0,353,126,0,789
8431,3626,4271,291.5,4626,4063,291.5,17169
5581,19110.01,19144.12,41276.7235,19112.09,21084.12,41072.2235,160799.287
5323,4803,17061,16773,5179,18116,16773,78705
7791,43919,94855,6380.5,44568,94594,6380.5,290697
2351,1042,1004,48,897,1005,48,4044
1003,9749,22599,1106.5,11169,22519,1106.5,68249
2942,0,1,0,1,1,0,3
5472,1095,1449,4821.5,773,1891,4821.5,14851
6961,6203.387,23394.358,110584.4915,29876.498,23872.848,110584.4915,304516.074
2449,16516,3163,467,16653,3198,467,40464
8048,77222,105441,89202,80812,105336,89202,547215
5211,60664,159370,94233,66379,161159,94233,636038
5093,54330.092,71628.323,242680.445,39207.18,81562.377,240325.945,729734.362
5094,150593.909,179202.791,681921.7695,91889.815,202744.853,681866.7695,1988219.907
3048,37037,82591,68613.5,38355,82819,68613.5,378029
3104,3872,8777,6284,4959,8987,6284,39163
5063,45959.041,57179.215,187018.2805,34592.2,63001.215,186964.7805,574714.732
2136,19614,22026,275.5,16224,21787,275.5,80202
6170,35995,77770,121004.5,35376,87934,120492,478571.5
4618,5280,3862,5890,5468,3912,5890,30302
6871,126540,246459,952019,99478,274855,910286,2609637
7910,8661,7404,2999,10118,7466,2999,39647
5464,17827,48492,73748.5,15806,50360,73748.5,279982
6235,8208,2143,2981.5,8468,2146,2981.5,26928
8553,106601,90822,10231,117137,87539,10231,422561
3907,8116,9764,3073.5,7923,9767,3073.5,41717
5163,7604,27540,39567,6796,28157,39544.5,149208.5
2304,68676,54338,28131,64773,54370,28131,298419
5401,4282.595,3374.033,13763.777,2282.304,4168.033,13438.277,41309.019
2352,40525,64792,395,32157,72132,395,210396
2217,72165,163037,4556.5,58714,148753,4556.5,451782
2219,208175,364154,4902,162067,254383,4902,998583
2145,39669,72091,2537.5,37075,69777,2537.5,223687
2220,85178,120804,788.5,99191,192889,788.5,499639
4513,29,466,0,115,467,0,1077
1215,402264,684861,52269.5,376047,664869,52269.5,2232580
4515,39041,38784,4512.5,6157,30560,4512.5,123567
1127,1740930,4177034,479809,1789376,4165383,479809,12832341
1006,72099,39657,26349,8439,32273,26349,205166
7835,16708,12836,1732.5,15389,12842,1732.5,61240
9940,100458,67233,66853.5,132628,67230,66853.5,501256
6800,166780,272748,521439,164033,265285,518039,1908324
5402,1276,4444,5393,1695,5207,5393,23408
9620,74884,70251,77002,82020,70245,77002,451404
5945,5180,4581,4442.5,5896,4950,4442.5,29492
2737,118310,200658,64927.5,126948,201348,64927.5,777119
5112,93240,97462,413698.5,41498,38286,413698.5,1097883
5095,181211.137,309145.409,697034.02,107829.594,345949.889,692180.02,2333350.069
2739,132907,632698,30232.5,127588,628759,30232.5,1582417
2738,7059,6772,618,5909,6496,618,27472
2740,11433,20714,2236.5,11926,20977,2236.5,69523
2732,12798,12191,35698,12377,14710,35698,123472
5625,39033,57924,40344.5,42154,62397,40344.5,282197
2450,15284,5015,487,15229,5033,487,41535
8750,3036,2239,10,3235,2246,10,10776
9760,68008,48604,136685.5,68902,48604,136685.5,507489
1176,37187,25624,78183,35997,25642,78183,280816
4574,8555,2367,10959.5,10138,2519,10959.5,45498
9716,51478,42155,33706.5,51069,42159,33706.5,254274
7503,1045,503,5,780,527,5,2865
6204,2670,158,245,2473,163,245,5954
1360,33115,119204,173367.5,28564,121366,173336.5,648953
1141,3309,4313,66.5,4671,4334,66.5,16760
1018,3902,4083,249,4451,4099,249,17033
2123,80473,110169,1138,71784,113132,1138,377834
1282,12154,6262,2343,12215,6384,2343,41701
3501,16639,48576,2343,17625,47984,2343,135510
2435,733,690,609,682,701,609,4024
5253,39109,196753,78071.5,38418,200510,78029,630890.5
9668,5661,1314,3308.5,7014,1314,3308.5,21920
2599,195063,488177,82683,195094,500938,82683,1544638
8536,6050,14271,2077.5,5722,14314,2077.5,44512
5626,16566,30348,39091,14060,37100,38583,175748
1993,3627,495,3083,3916,494,3083,14698
2195,42442,79549,958,44201,90991,958,259099
2239,36774,41795,1307.5,35957,37760,1307.5,154901
5130,25296,71209,101450,22218,77503,101450,399126
4304,9841,5318,855.5,10601,5435,855.5,32906
5254,7049,9466,15990.5,7513,10004,15990.5,66013
6216,35056,28344,34610,34295,28480,34610,195395
5894,6918,7914,11991.5,6829,10627,11991.5,56271
6237,7348,973,2524,8145,977,2524,22491
3018,28234,42255,38767,26052,45299,38751.5,219358.5
5876,160882,550505,177136,158572,555466,177136,1779697
1112,55948,64910,5971.5,58153,64860,5971.5,255814
1381,1769,3290,6093,2524,3779,6093,23548
6027,13632.654,5886.456,57059.378,10415.422,6191.456,56952.378,150137.744
9968,7874,4657,72016,8898,4658,72016,170119
5403,2786,10721,8299.5,2492,12283,8254.5,44836
5693,241189,272779,205031,239934,280775,205026,1444734
8346,139193,68581,9139,17704,48158,9139,291914
8345,383688,544640,33141.5,470203,556025,33141.5,2020839
3341,30364,43286,20760.5,32846,43362,20760.5,191379
5530,21259,1469,7761,22335,1422,7761,62007
6801,22561,105411,166479.5,19217,112834,166479.5,592982
2944,22982,34890,21103,19554,37879,21103,157511
5500,17647,40570,37358.5,18677,45107,37358.5,196718
8496,31971,18436,4992,34781,17133,4992,112305
7259,983,865,15,1131,861,15,3870
7565,1390,1728,170,1957,1728,170,7143
9938,14219,10532,3463,14191,10536,3463,56404
7200,3240,3528,864,3896,3577,864,15969
5875,20967,27122,20603,22153,27658,20603,139106
2045,904,102,76.5,703,100,76.5,1962
2779,12284,25388,7739,11232,26334,7739,90716
9251,32,2,0,79,2,0,115
5552,27801.231,30777.503,24684.694,35911.813,36061.509,24554.194,179790.944
6872,196060,232772,619712,172846,246480,586827.5,2054697.5
1560,4134,12501,7512.5,3441,14829,7512.5,49930
9889,28330,14090,11091.5,34189,14087,11091.5,112879
8823,1420,502,0,1654,504,0,4080
3809,86090,185558,38343,90389,185302,38343,624025
9789,48048,32267,21683,41766,32267,21683,197714
3449,20661,33996,5515,20096,34123,5515,119906
8049,48020,84811,28140.5,48359,84841,28140.5,322312
2554,3827,3408,2212,3588,3402,2212,18649
6464,74,39,22.5,118,39,22.5,315
5268,480157,2627040,1033003.5,501950,2634448,1032745.5,8309344
6810,32255.832,25784.04,72243.2345,28987.718,25611.04,72201.7345,257083.599
2603,7178,20329,3697.5,6210,20159,3697.5,61271
3230,196895,236001,81281.5,195130,234124,81281.5,1024713
3231,572311,1047972,321686.5,564536,1043459,321681.5,3871646
4012,2435,6705,1608.5,2432,6708,1608.5,21497
4187,6001,7730,2178,6642,7731,2178,32460
5081,12721.918,33989.645,76104.07,22480.764,35618.923,76104.07,257019.39
2240,29652,47515,1009,28476,47449,1009,155110
2892,14740,22826,7956,12309,26779,7956,92566
5006,24148,85774,78358,24235,87290,78358,378163
5886,45362,136504,182370,42747,138968,182370,728321
8429,8576,6606,579,10469,6902,579,33711
5404,110106.492,162323.702,347135.0785,98436.045,168965.025,347130.0785,1234096.421
7740,19005,20140,553.5,19708,14817,553.5,74777
2190,62414,87366,1089,62688,90136,1089,304782
2191,25835,40918,625,20218,32699,625,120920
2697,21181,30396,15446,19803,33278,15446,135550
5096,25068.167,34140.005,120322.628,18922.427,43218.008,120076.628,361747.863
5064,324588.538,933201.56,1085025.8565,285213.353,952075.187,1084468.8565,4664573.351
4715,17683,15847,39695.5,18668,19155,39695.5,150744
1437,36600.814,48764.923,103039.999,55057.308,46659.071,103039.999,393162.114
1438,13121.559,17298.893,33481.7625,18456.532,17052.91,33481.7625,132893.419
6074,16600,11678,34021.5,15282,11758,34021.5,123361
5687,69981,99983,141222.5,66411,109119,141212,627928.5
4175,250,160,240,265,162,240,1317
8050,774,222,430,566,222,430,2644
8618,1708,592,0,1358,592,0,4250
8051,38795,35337,30120,40822,35314,30120,210508
9023,507,1262,921,520,1258,921,5389
6812,129611,145460,323045,115853,148133,316215.5,1178317.5
