NLC," Entries Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
9716,48783,35841,16805,46488,35837,16805,200559
7503,1260,692,68,754,629,68,3471
6204,3396,102,341,3099,114,341,7393
1360,34144,121065,178730,31288,122467,178730,666424
1141,2882,4921,5,3871,4919,5,16603
2123,73286,103084,1403,65809,117700,1403,362685
1282,14384,5747,3303,14464,5770,3303,46971
3501,16942,45024,2635,17675,44517,2635,129428
2435,755,563,378,568,570,378,3212
5253,32434,210838,85498,30760,215857,85498,660885
9668,4503,1499,2525,6242,1499,2525,18793
7740,17509,18503,656,22335,10849,656,70508
2599,185324,507035,87588,194276,514055,87588,1575866
8536,6646,14159,2366,5585,14133,2366,45255
5626,14767,27080,40569,12575,34835,40569,170395
1993,4025,352,3080,3794,355,3080,14686
2195,37315,73188,590,44019,92310,590,248012
2239,31598,38991,1723,35931,38801,1723,148767
4513,49,383,5,102,386,5,930
5130,22891,74206,91267,19054,80219,91267,378904
4304,10356,5149,300,11076,5274,300,32455
5254,5323,8940,16819,5834,9724,16819,63459
6216,37993,21591,7072,38137,21445,7072,133310
5894,6941,7958,12211,6476,10588,12211,56385
6237,8448,468,2266,8872,478,2266,22798
3018,27473,40223,39652,25105,43182,39652,215287
5876,148914,529555,166528,145193,533465,166528,1690183
1112,50231,62459,2036,52777,62443,2036,231982
1381,2369,3449,6233,2609,4126,6233,25019
6027,12815,7190,47996,9576,7330,47996,132903
9968,7570,4512,59314,9464,4513,59314,144687
5403,2693,10923,7660,2617,12402,7660,43955
5693,205587,257691,188998,205011,266494,188998,1312779
8346,120250,59863,7715,12137,39113,7715,246793
8345,354777,525146,29650,443445,535835,29650,1918503
3341,26567,41109,24753,29640,41135,24753,187957
5530,22420,1190,7202,23957,1135,7202,63106
6801,19780,94627,135132,17238,101673,135132,503582
2944,24660,39611,22470,22785,43616,22470,175612
5500,16881,39672,35803,16871,44398,35803,189428
8496,26004,15010,4042,29627,13976,4042,92701
7565,1097,1518,304,1592,1517,304,6332
7259,1058,450,15,1129,450,15,3117
9938,14321,11989,3525,15301,11991,70159,127286
7200,2910,3343,483,3346,3358,483,13923
5875,19786,27066,18602,21823,28079,18602,133958
2045,713,71,0,715,71,0,1570
2779,12611,23187,7354,12895,24279,7354,87680
9251,64,3,0,66,3,0,136
5552,23673,27635,8936,30963,33161,8936,133304
6872,191192,230598,529693,160384,244966,529693,1886526
1560,5114,13515,7485,3727,16434,7485,53760
9889,27278,11684,11805,34428,11688,11805,108688
8823,1470,579,0,1494,583,0,4126
3809,80747,191420,37368,86640,191255,37368,624798
9789,45518,28900,10580,40819,28901,10580,165298
3449,20721,34596,4827,20306,34799,4827,120076
8049,47037,83091,29945,47276,83140,29945,320434
2554,3524,3728,2410,3281,3741,2410,19094
6464,70,22,0,79,23,0,194
5268,375380,2368533,954878,329876,2392647,954878,7376192
6601,1,3,0,1,3,0,8
6810,25535,19911,55167,25292,20243,55167,201315
2603,7393,17999,3652,6354,18103,3652,57153
3230,181244,233291,80380,178276,231141,80380,984712
3231,508785,1019057,322448,502065,1013750,322448,3688553
4012,2053,6848,1544,2043,6847,1544,20879
4187,6577,8312,1389,7102,8370,1389,33139
5081,9578,24715,22709,15412,26335,22709,121458
2240,29714,42982,1596,28293,43572,1596,147753
1018,5132,4469,20,5117,4472,20,19230
2892,15570,22273,8720,13355,23968,8720,92606
5006,20753,89564,82745,20499,91821,82745,388127
5886,44001,136949,208663,40796,138429,208663,777501
8429,8781,6433,546,8638,6463,546,31407
5404,84222,135319,288566,51178,139402,288566,987253
2190,55571,79462,706,55846,94679,706,286970
2191,22085,37079,88,17799,30254,88,107393
2697,21699,34056,16980,18441,37044,16980,145200
5096,22267,33117,107365,13889,43610,107365,327613
5064,249749,897540,833199,208973,910542,833199,3933202
4715,16393,14525,5045,16025,18005,5045,75038
1437,24151,34673,20836,18472,34285,20836,153253
1438,8909,13958,6918,6384,14116,6918,57203
6074,12554,10771,33772,11633,10877,33772,113379
5687,65272,92004,140803,62234,100807,140803,601923
4175,344,293,240,413,319,240,1849
8050,872,198,587,682,198,587,3124
8618,1500,640,0,1448,638,0,4226
8051,39750,34281,29810,40524,34323,29810,208498
9023,495,1085,1496,572,1082,1496,6226
6812,107257,132418,337829,97163,132648,337829,1145144
6958,12026,10702,32351,15534,10769,32351,113733
7289,7154,9113,1461,7583,10250,1461,37022
7006,1550,807,311,1482,931,311,5392
3623,1464,1816,23,1504,1736,23,6566
5702,2085,4672,477,2141,4716,477,14568
2222,11294,10246,1762,11746,10319,1762,47129
7290,4,8,0,10,8,0,30
2422,10620,1503,176,12483,1513,176,26471
4182,1114,1148,465,1119,1133,465,5444
3502,215,247,0,274,247,0,983
4317,1914,1247,0,1949,1277,0,6387
1865,30386,25799,5376,27697,25778,5376,120412
7085,1583,5518,11710,1560,5801,11710,37882
5483,53016,178443,387142,58651,184354,387142,1248748
8565,47887,47784,1323,55387,47158,1323,200862
8500,72416,37048,7334,78244,35895,7334,238271
2945,11019,19004,5657,9673,20764,5657,71774
1975,2794,1068,358,2648,1069,358,8295
3176,75557,105236,106010,76122,117149,106010,586084
6873,8612,38428,86388,7956,40579,86388,268351
2743,82,232,286,260,249,286,1395
2550,18985,33773,6803,21012,33683,6803,121059
2549,21079,27595,9881,22920,27566,9881,118922
9767,55170,34810,25580,62270,34812,25580,238222
9107,12924,19128,13941,14103,19097,13941,93134
2279,20577,23336,3714,18110,23681,3714,93132
2280,6000,9281,1146,5728,10509,1146,33810
5927,4533,6481,4723,5304,6826,4723,32590
6200,2986,804,274,2280,822,274,7440
1658,47323,94914,24124,49267,95404,24124,335156
2623,0,1,0,0,1,0,2
7008,35933,38659,6410,39974,39190,6410,166576
9791,22019,16060,10116,23435,16062,10116,97808
6913,52796,48373,145833,30558,48311,145833,471704
1395,28853,38908,101066,19059,41908,101066,330860
1179,23937,18800,1657,20552,18834,1657,85437
5324,2783,6437,9730,2641,7320,9730,38641
2946,19885,85791,19623,16987,86146,19623,248055
5689,26679,35713,53398,29501,39330,53398,238019
4124,178,160,0,209,156,0,703
3811,36020,55791,31616,39211,55796,31616,250050
2536,12943,743,26,13627,744,26,28109
3812,58524,145774,56408,64680,145833,56408,527627
4412,4380,5728,142,4506,5835,142,20733
3680,8667,11460,3673,10532,11473,3673,49478
1439,6682,9436,1888,10068,11001,1888,40963
3562,5418,4443,1756,5442,4452,1756,23267
3238,10679,14867,4598,11553,14920,4598,61215
5682,49078,92416,43392,46483,101511,43392,376272
3504,23065,28139,1552,22337,28456,1552,105101
7022,384608,1116531,464128,337040,1142822,464128,3909257
6962,442,86,124,2855,92,124,3723
9768,92731,63699,47504,100532,63693,47504,415663
1440,25389,44119,26176,34390,42912,26176,199162
9878,8691,6300,7209,9753,6311,7209,45473
1129,8661,9765,918,8560,9791,918,38613
6963,1470,2127,3478,10705,2440,3478,23698
1016,14236,28307,36,15734,28440,36,86789
1441,10267,10819,7896,11084,12130,7896,60092
5164,26672,138013,43946,18579,92541,43946,363697
5007,129147,414842,257275,137036,448505,257275,1644080
7292,3198,2138,723,3555,2136,723,12473
2186,11845,5668,3156,16431,5676,3156,45932
3542,10819,10176,207,12834,10541,207,44784
9112,5222,4169,1952,4141,4171,1952,21607
3815,14618,14548,18047,13879,14548,18047,93687
3899,712631,1852879,376631,690890,1849253,376631,5858915
3900,162542,264650,153223,130418,264600,153223,1128656
9624,18384,10556,8193,21330,10557,8193,77213
9969,24842,19574,40990,28061,19574,40990,174031
9877,8094,6769,1233,9166,6769,1233,33264
1964,11259,7588,3136,11271,7598,3136,43988
2118,140691,277564,46743,138031,277222,46743,926994
6201,5931,2861,2038,5589,3189,2038,21646
9702,31804,27073,24329,33650,27077,24329,168262
4068,37659,73756,13311,36837,73705,13311,248579
9769,14988,10854,3263,18337,10854,3263,61559
2640,19822,28225,6624,20599,28270,6624,110164
9028,5638,4927,3379,5200,4934,3379,27457
9897,36108,17885,8126,39128,17885,8126,127258
1442,34206,87938,61630,18821,99784,61630,364009
8621,603,448,61,746,446,61,2365
5405,44518,68675,147189,28314,78261,147189,514146
5406,38225,60682,130006,31577,61420,130006,451916
