NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
9764,14359,12514,16030,42903,14359,12514,16030,42903,85806,0
4011,24377,33172,14654,72203,24377,33172,14654,72203,144406,0
7492,577515,684104,1077357,2338976,577515,684104,1077357,2338976,4677952,211034
5133,13711,15138,33559,62408,13711,15138,33559,62408,124816,0
4445,52951,13131,12203,78285,52951,13131,12203,78285,156570,0
5089,96158,134460,524672,755290,96158,134460,524672,755290,1510580,0
5551,188395,182992,456140,827527,188395,182992,456140,827527,1655054,12552
5580,77859,63932,116693,258484,77859,63932,116693,258484,516968,0
6406,4993,18556,3546,27095,4993,18556,3546,27095,54190,2016
5252,78460,148918,220170,447548,78460,148918,220170,447548,895096,796935
9973,14823,10679,5837,31339,14823,10679,5837,31339,62678,0
6774,196014,265363,206780,668157,196014,265363,206780,668157,1336314,12168
5725,9224,138261,4014,151499,9224,138261,4014,151499,302998,0
1096,42391,28603,39723,110717,42391,28603,39723,110717,221434,31509
9674,96792,76025,116751,289568,96792,76025,116751,289568,579136,0
9467,1403,739,142,2284,1403,739,142,2284,4568,0
6212,949,135,0,1084,949,135,0,1084,2168,0
1954,129849,101447,74386,305682,129849,101447,74386,305682,611364,11499
1903,13131,13012,9035,35178,13131,13012,9035,35178,70356,0
3805,100411,83855,68613,252879,100411,83855,68613,252879,505758,0
3806,30317,23097,12369,65783,30317,23097,12369,65783,131566,0
3807,79137,102956,98652,280745,79137,102956,98652,280745,561490,0
9020,39,1,5,45,39,1,5,45,90,0
6207,19400,2282,1532,23214,19400,2282,1532,23214,46428,0
7494,352736,335100,527038,1214874,352736,335100,527038,1214874,2429748,0
5520,489525,993272,837186,2319983,489525,993272,837186,2319983,4639966,648892
5090,9667,12762,18481,40910,9667,12762,18481,40910,81820,0
3271,482279,1445379,462082,2389740,482279,1445379,462082,2389740,4779480,114725
9311,130754,92259,80612,303625,130754,92259,80612,303625,607250,0
8484,40266,40219,40398,120883,40266,40219,40398,120883,241766,0
7909,859,142,5,1006,859,142,5,1006,2012,0
5420,159407,241832,526785,928024,159407,241832,526785,928024,1856048,67365
5215,37638,104796,121768,264202,37638,104796,121768,264202,528404,0
6870,1458,1494,1970,4922,1458,1494,1970,4922,9844,0
6006,7293,5056,5883,18232,7293,5056,5883,18232,36464,0
3047,194269,171604,287740,653613,194269,171604,287740,653613,1307226,0
