NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,Interchanges
9966,101692,81492,84043,267227,101692,81492,84043,267227,534454,
5091,24599,60545,112834,197978,24599,60545,112834,197978,395956,
8822,129,59,0,188,129,59,0,188,376,
5890,1370,3016,511,4897,1370,3016,511,4897,9794,
8877,13472,12866,930,27268,13472,12866,930,27268,54536,
2188,233644,219143,155181,607968,233644,219143,155181,607968,1215936,
7258,13502,25071,838,39411,13502,25071,838,39411,78822,
5076,28850,31095,81619,141564,28850,31095,81619,141564,283128,
5046,235473,262934,814415,1312822,235473,262934,814415,1312822,2625644,79788.3577
1512,224425,719850,713165,1657440,224425,719850,713165,1657440,3314880,53766.9102000001
1510,1011,1863,2196,5070,1011,1863,2196,5070,10140,
5538,22017,18777,83812,124606,22017,18777,83812,124606,249212,
3245,16238,10439,11531,38208,16238,10439,11531,38208,76416,
1165,22684,2915,4966,30565,22684,2915,4966,30565,61130,
3070,6906,30142,16303,53351,6906,30142,16303,53351,106702,
1625,141378,81331,47860,270569,141378,81331,47860,270569,541138,73306.86
5198,4017,7502,7680,19199,4017,7502,7680,19199,38398,
2785,1315,6918,1758,9991,1315,6918,1758,9991,19982,
9895,102010,87747,62411,252168,102010,87747,62411,252168,504336,21634.0992
5062,53909,51234,219166,324309,53909,51234,219166,324309,648618,
9714,110531,101662,124183,336376,110531,101662,124183,336376,672752,45256.4032
5350,19094,10789,43951,73834,19094,10789,43951,73834,147668,
1679,28719,41590,16447,86756,28719,41590,16447,86756,173512,
5227,2097,1460,2826,6383,2097,1460,2826,6383,12766,
5092,77447,94578,194206,366231,77447,94578,194206,366231,732462,
8047,2742,1802,933,5477,2742,1802,933,5477,10954,
8564,30888,39180,20691,90759,30888,39180,20691,90759,181518,
7439,400868,354469,1018277,1773614,400868,354469,1018277,1773614,3547228,
2676,9819,1985,703,12507,9819,1985,703,12507,25014,
5624,15940,12700,40056,68696,15940,12700,40056,68696,137392,
8352,30231,12775,37751,80757,30231,12775,37751,80757,161514,
3549,1751,12523,8122,22396,1751,12523,8122,22396,44792,
3550,568,4797,2141,7506,568,4797,2141,7506,15012,
1390,213134,243678,315107,771919,213134,243678,315107,771919,1543838,
1045,24002,34831,59088,117921,24002,34831,59088,117921,235842,
7330,515,203,0,718,515,203,0,718,1436,
8431,4267,5483,3944,13694,4267,5483,3944,13694,27388,
5581,40666,43099,103267,187032,40666,43099,103267,187032,374064,
5323,6815,19875,11746,38436,6815,19875,11746,38436,76872,
7791,13024,199459,27541,240024,13024,199459,27541,240024,480048,1035.359
2351,660,1050,46,1756,660,1050,46,1756,3512,
1003,9808,27463,29194,66465,9808,27463,29194,66465,132930,
5472,2425,2795,4717,9937,2425,2795,4717,9937,19874,
6961,65944,83451,183664,333059,65944,83451,183664,333059,666118,
2449,10124,8797,255,19176,10124,8797,255,19176,38352,
8048,55742,138642,111341,305725,55742,138642,111341,305725,611450,9.8917
5211,90757,240913,492488,824158,90757,240913,492488,824158,1648316,
5093,102960,121893,362415,587268,102960,121893,362415,587268,1174536,
5094,235249,246243,973687,1455179,235249,246243,973687,1455179,2910358,
3048,130943,327375,219536,677854,130943,327375,219536,677854,1355708,
