NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
9862,84369,94532,99891,278792,81604,94511,99891,276006,554798,0
9013,93,98,431,622,76,98,431,605,1227,0
2561,26359,2468,3278,32105,26317,2489,3278,32084,64189,0
2820,4653,4620,565,9838,4522,4622,565,9709,19547,0
8839,840,632,0,1472,968,626,0,1594,3066,0
4502,160010,310524,175004,645538,153759,315681,175005,644445,1289983,354552
2471,55546,187605,32574,275725,51114,187750,32574,271438,547163,204
2238,16632,14258,0,30890,17512,14290,0,31802,62692,0
5348,5302,3962,36569,45833,9758,4088,36569,50415,96248,0
9466,21453,17428,16315,55196,26710,17434,16315,60459,115655,0
0501,78,57,22773,22908,81,31,22773,22885,45793,0
7563,912,835,287,2034,971,835,287,2093,4127,0
2690,39733,4678,10726,55137,46708,4693,10726,62127,117264,0
9764,12779,10320,13734,36833,13489,10320,13734,37543,74376,0
4011,21041,38023,14093,73157,17563,38044,14093,69700,142857,0
7492,331763,371081,1229745,1932589,229383,370845,1229745,1829973,3762562,183896
1279,13,81,272,366,47,88,272,407,773,0
5133,12505,12405,41130,66040,15259,11749,41130,68138,134178,0
4445,17075,37290,11905,66270,12411,37396,11905,61712,127982,0
5089,98634,104515,601897,805046,78585,104579,601897,785061,1590107,0
5551,141606,160275,526805,828686,128682,160201,526805,815688,1644374,4604
5580,31984,38405,99458,169847,44098,38676,99458,182232,352079,0
6406,8003,16991,3944,28938,9327,17289,3944,30560,59498,3472
5252,72290,139625,223189,435104,70194,137234,223189,430617,865721,730136
9973,14088,9437,2721,26246,12725,9434,2721,24880,51126,0
6774,165119,215264,32763,413146,161262,215299,32763,409324,822470,9431
5725,10324,100525,7830,118679,10597,100976,7830,119403,238082,0
1096,38249,24948,12443,75640,47125,25019,12443,84587,160227,15713
9674,96184,77678,98430,272292,102820,77667,98430,278917,551209,0
9467,1455,714,10,2179,1892,708,10,2610,4789,0
6212,1055,184,0,1239,1698,184,0,1882,3121,0
1903,11860,8733,5758,26351,11327,8707,5758,25792,52143,0
1954,65921,125366,57315,248602,62078,123110,57315,242503,491105,17778
3805,76103,104856,62315,243274,65110,104940,62315,232365,475639,0
3806,17370,23413,7273,48056,19050,23441,7273,49764,97820,0
3807,63021,130726,77364,271111,77901,130733,77364,285998,557109,0
9020,18,4,0,22,18,4,0,22,44,0
6207,15746,4757,1938,22441,15337,4771,1938,22046,44487,0
7494,282458,334378,526314,1143150,284864,334894,526314,1146072,2289222,0
5520,482556,857374,857729,2197659,480260,858754,857728,2196742,4394401,721699
5090,7688,9073,23354,40115,18833,9661,23354,51848,91963,0
3271,519395,1197192,413061,2129648,518014,1184053,413061,2115128,4244776,78897
9311,128042,99605,87429,315076,143181,104881,87429,335491,650567,0
8484,36491,24535,7326,68352,44488,24556,7326,76370,144722,0
7909,372,475,0,847,388,476,0,864,1711,0
5420,125843,179563,563841,869247,149995,178439,563841,892275,1761522,17531
5215,36271,100539,130347,267157,40063,98926,130347,269336,536493,0
6870,900,1185,682,2767,1474,1183,682,3339,6106,0
6006,2058,2986,7680,12724,4931,3505,7680,16116,28840,0
3047,120846,187926,254374,563146,121955,188153,254374,564482,1127628,0
2420,399,161,398,958,351,173,398,922,1880,0
9966,83751,63474,57065,204290,95055,63481,57065,215601,419891,0
5091,24200,42609,118334,185143,26115,42072,118334,186521,371664,0
