" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0405",Interchanges
1215,420529,532562,44810.01,997901.01,391975,511851,44810.01,948636.01,1946537,13224
3054,224185.0856,415279.016,321903.6636,961367.7652,235424.0308,415409.016,321903.6636,972736.7104,1934104,26600
8976,247794,629020,104724.9,981538.9,214313,631396,104724.9,950433.9,1931973,187983
5532,266477,381821,310009.095,958307.095,248030,395475,310009.095,953514.095,1911821,179021
5187,218146,293344,445976.88,957466.88,218675,287873,445976.88,952524.88,1909992,425303
6884,100584,212199,636596.43,949379.43,107608,209859,636596.43,954063.43,1903443,
5379,145732.1724,245965.9832,559376.3502,951074.5058,135308.0052,256677.9832,559376.3502,951362.3386,1902437,372891
5575,219120.8146,264911.7564,465005.7515,949038.3225,218811.9387,264398.7564,465005.7515,948216.4466,1897255,
5567,177615.1592,267987.3186,495636.2525,941238.7303,187315.6827,267841.4303,495636.2525,950793.3655,1892032,22344
3645,465692,340703,144971.2969,951366.2969,479212,311361,144971.2969,935544.2969,1886911,21599
5384,168894.8867,191957.7757,574341.3595,935194.0219,172826.6487,192538.7757,574341.3595,939706.7839,1874901,56789
2599,228491,595157,102489.495,926137.495,222501,616809,102489.495,941799.495,1867937,377855
5559,264962.6666,294700.5386,377995.6263,937658.8315,256257.8427,292508.4656,377995.6263,926761.9346,1864421,
1457,221627.0948,163052.5863,537350.9599,922030.641,236800.1352,162095.0899,537350.9599,936246.185,1858277,957291
1069,129252,517694,275776.15,922722.15,128390,527691,275776.15,931857.15,1854579,51499
3674,241662,519355,154763.105,915780.105,234726,522920,154763.105,912409.105,1828189,367529
5577,261774,217017,426167.0703,904958.0703,268174,216300,426167.0703,910641.0703,1815599,304805
5696,253726,356297,296376.4683,906399.4683,240064,360475,296376.4683,896915.4683,1803315,50703
7877,301299,506168,87225.135,894692.135,307922,505844,87225.135,900991.135,1795683,266525
5376,161721.1845,180546.1313,555476.5342,897743.85,157718.2826,180714.1911,555476.5342,893909.0079,1791653,826867
5388,137059.315,200769.302,557450.6029,895279.2199,132120.0036,201032.302,557450.6029,890602.9085,1785882,
5421,188116.5671,162575.9728,541913.0889,892605.6288,186721.8074,162280.658,541913.0889,890915.5543,1783521,22123
5103,164571.9049,164613.9933,566887.3035,896073.2017,145401.9637,164507.9933,566887.3035,876797.2605,1772870,
6879,150329.3054,187998,542446.8178,880774.1232,157062.5845,190590,542446.8178,890099.4023,1770874,
5273,128436,300922,456225.38,885583.38,124871,298190,456225.38,879286.38,1764870,196585
5046,136765.0265,170246.4539,575804.8363,882816.3167,131589.109,170605.4539,575804.8363,877999.3992,1760816,48579
8591,375271,440932,52843.41,869046.41,373849,464634,52843.41,891326.41,1760373,66804
1542,149093.492,267600.848,444566.0628,861260.4028,168477.428,269686.876,444566.0628,882730.3668,1743991,
9888,239374,496338,140537.33,876249.33,222198,471788,140537.33,834523.33,1710773,85372
5128,117294,101682,630686.0212,849662.0212,110240,102275,630686.0212,843201.0212,1692863,
5119,130636,116063.77,606861.8313,853561.6013,113181,115818.75,606861.8313,835861.5813,1689423,
6877,145712,144501,559665.6945,849878.6945,135063,144585,559665.6945,839313.6945,1689192,6407
5693,304630,288851,247581.535,841062.535,304073,291988,247581.535,843642.535,1684705,
6827,217242,274399,333803.155,825444.155,227535,280015,333803.155,841353.155,1666797,
2739,229537,572400,32798.655,834735.655,223888,572642,32798.655,829328.655,1664064,2441
5177,125175,184762,512122.21,822059.21,138522,180589,512122.21,831233.21,1653292,
7447,169024,250637,376905.965,796566.965,227253,250689,376905.965,854847.965,1651415,
7745,218764,506999,104049.06,829812.06,211148,504926,104049.06,820123.06,1649935,3663
5146,151226.3392,204968.6377,467560.9786,823755.9555,152555.4292,204681.1577,467560.9786,824797.5655,1648554,
5066,170957.5781,164191.6875,488650.2195,823799.4851,159080.264,164806.6875,488650.2195,812537.171,1636337,791134
3410,224447,537536,55342.17,817325.17,226492,533126,55342.17,814960.17,1632285,402464
2771,237119,464288,102609.46,804016.46,229502,472112,102609.46,804223.46,1608240,355054
6874,146570.8493,140056.7882,514559.7296,801187.3671,151678.2697,140303.8125,514559.7296,806541.8118,1607729,
5123,139490.2113,137958.1405,526480.3257,803928.6775,124334.4616,138091.1405,526480.3257,788905.9278,1592835,
5437,138034.887,172251.7213,485447.5074,795734.1157,131737.975,173108.7213,485447.5074,790294.2037,1586028,
5484,142556,363861,278493.2613,784910.2613,167197,354861,278493.2613,800551.2613,1585462,3223
